plant	mother plant	treatment	period	day	temperature	number of ants	number of ant morphospecies	probability of attendance	Camponotus	Linepithema	Brachymyrmex	Nylanderia	Attendance by Nylanderia	Sharing
57	21	JA	morning	10	31	NA	0	0	NA	NA	NA	NA	NA	NA
8	26	Control	afternoon	10	33	6	1	1	NA	NA	6	NA	0	0
12	8	JA	afternoon	10	30	7	1	1	NA	NA	7	NA	0	0
7	21	Control	afternoon	10	31	NA	0	0	NA	NA	NA	NA	NA	NA
16	18	JA	afternoon	10	25	8	1	1	NA	NA	8	NA	0	0
35	16	Control	afternoon	10	24	7	2	1	NA	NA	1	6	1	1
38	26	JA	afternoon	10	23	4	2	1	NA	NA	3	1	1	1
50	30	Control	afternoon	10	22	2	2	1	NA	NA	1	1	1	1
49	22	JA	afternoon	10	22	NA	0	0	NA	NA	NA	NA	NA	NA
46	3	Control	afternoon	10	21	NA	0	0	NA	NA	NA	NA	NA	NA
57	21	JA	afternoon	10	21	1	1	1	NA	NA	NA	1	1	0
